date,tweet,label
2016-10-30 23:02:25+00:00,kulit kayu pohon kayu merah tahan api kebakaran di hutan kayu merah terjadi di dalam pohonnya,0.0
2016-10-30 14:00:03+00:00,tanpa banyak gembar gembor pria ini menyelamatkan hutan di pedalaman kalimantan,0.0
2016-10-27 01:45:32+00:00,kebakaran yang terjadi di kawasan hutan gambut di indonesia sudah terjadi sejak akhir tahun,1.0
2016-10-24 13:28:10+00:00,kebakaran kepung pusat perkantoran gayo lues kebakaran hutan pinus kembali terjadi di blangkejeren gayo,1.0
2016-10-24 06:27:20+00:00,serta dapat berperan aktiff dalam mencegah kebakaran hutan dan lahan gambut terjadi lagi di indonesia,2.0
2016-10-21 12:40:58+00:00,menurut pakar kehutanan dari ipb ricky avenzora kamis 2010 berdasarkan data yang ada kebakaran hutan tahun 2015 terjadi paling banyak,1.0
2016-10-20 08:13:32+00:00,faizal menyampaikan tentang kebakaran hutan dan lahan yang sering terjadi di prov riau serta ungkapan kecewa rakyat riau dgn dicabutnya sp3,1.0
2016-10-20 06:31:18+00:00,kebakaran hutan tidak boleh terjadi lagi jangan gunduli hutan hanya untuk memperluas pertanian,2.0
2016-10-20 03:01:30+00:00,karna kebakaran hutan dan lahan yang terjadi di sumatra dan kalimantan mencerminkan menjerat yg lemah,1.0
2016-10-17 14:03:01+00:00,bisa dibayangkan bagaimana tercekiknya rakyat indonesia yang harus menyiapkan masker seperti itu jika terjadi kebakaran hutan kembali,1.0
2016-10-17 13:39:01+00:00,deforestasi terjadi akibat kebakaran hutan,1.0
2016-10-16 21:12:17+00:00,wah nuduh mikir tong kebakaran hutan sering terjadi di indonesia apakah kalian,0.0
2016-10-15 21:30:42+00:00,hutan girsang sipanganbolon simalungun terbakar kebakaran hutan kembali terjadi di hutan girsang sipanganbolon,1.0
2016-10-15 20:48:28+00:00,kebakaran hutan kembali terjadi di hutan girsang sipanganbolon kabupaten simalungun sumatera utara,1.0
2016-10-15 11:58:50+00:00,kebakaran hutan sering terjadi di indonesia apakah kalian berteriak lantang dlm mengkritiknya,0.0
2016-10-14 14:31:27+00:00,selat panjang kebakaran hutan dan lahan yang terjadi di desa telesung kecamatan rangsang pesisir kabupaten,1.0
2016-10-14 14:31:27+00:00,kebakaran lahan di rangsang pesisir capai 50 hektar selatpanjang kebakaran hutan dan lahan yang terjadi,1.0
2016-10-13 11:51:25+00:00,kembali hutan tualang terbakar kebakaran di hutan tualang sendiri sudah terjadi sembilan kali,1.0
2016-10-13 01:24:05+00:00,semoga tidak terjadi lagi kebakaran ataupun pembakaran hutan kita,2.0
2016-10-12 08:56:17+00:00,prof bambang kl memang benar tlh terjadi kebakaran hutan mana buktinya sengajakah atau lalai,1.0
2016-10-10 21:24:33+00:00,kebakaran di taman hutan raya seulawah sendiri sudah terjadi delapan kali dalam kurun waktu dua bulan,1.0
2016-10-10 17:30:20+00:00,dpd desak pemerintah restorasi lahan gambut agar kebakaran hutan tidak terjadi lagi,3.0
2016-10-07 15:13:37+00:00,kebakaran lahan kembali terjadi di kecamatan tambang kabupaten kampar riau 07/10 tim satgas kebakaran hutan,1.0
